sample_id	subject_id	study_condition	time_months	time_years	taxon	relative_abundance	rel_abund_log10	taxon_short
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.0921463769319013	-1.0354746075907	s__Bacteroides_dorei
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.155696364580135	-0.80769363505205	s__Bacteroides_uniformis
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	4.55065074305626e-05	-4.2556560983996	s__Faecalibacterium_prausnitzii
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.000269938601219974	-3.55293721178411	s__Bacteroides_fragilis
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.131125450939484	-0.882279885990127	s__Bifidobacterium_bifidum
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0340128638395291	-1.46822913289401	s__Bifidobacterium_longum
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.00333397675867649	-2.47573674965815	s__Blautia_wexlerae
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.00550478718456739	-2.25847124230835	s__Bacteroides_ovatus
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0335222936879974	-1.47453673878798	s__Parabacteroides_distasonis
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	-5	s__Roseburia_intestinalis
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	-5	s__Prevotella_copri
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.000223170253995958	-3.63232685421062	s__Bacteroides_vulgatus
PRJNA231909.3101336	E003251	T1D	1.47843942505133	0.123203285420945	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.088122741038879	-1.05486272256428	s__Bacteroides_dorei
